auprc,auroc,f1,recall,window,feature_set,model,fold,n_train,n_test
0.31483828306954226,0.6796278431534644,0.38477801268498946,0.6546762589928058,w4,F1,lgbm,5,22164,5374
0.42559724938302324,0.7466439558074339,0.453050034270048,0.6455078125,w4,F2,lr,1,22122,5416
0.37105876870045695,0.6768976217029158,0.39660537482319663,0.6407678244972578,w4,F2,lr,2,22136,5402
0.41120816694637197,0.7136431983681183,0.4495,0.7466777408637874,w4,F2,lr,3,21904,5634
0.22913651847457983,0.623410197011667,0.2955047899778924,0.4926289926289926,w4,F2,lr,4,21826,5712
0.3200937692162782,0.6803755943536144,0.40142095914742454,0.5806783144912642,w4,F2,lr,5,22164,5374
0.4327810177331829,0.7327099298084585,0.4536082474226804,0.6015625,w4,F2,lgbm,1,22122,5416
0.3836737215242355,0.6889259640242464,0.4125042473666327,0.5548446069469836,w4,F2,lgbm,2,22136,5402
0.3973034250065799,0.7052391201637882,0.44369935736239174,0.659468438538206,w4,F2,lgbm,3,21904,5634
0.21251976455329472,0.606975418939486,0.28876636802205374,0.5147420147420148,w4,F2,lgbm,4,21826,5712
0.3769571005248801,0.7089845506008281,0.42097596504005824,0.5940390544707091,w4,F2,lgbm,5,22164,5374
0.42941441530922414,0.7457650050873748,0.4510964148973199,0.6328125,w4,F3,lr,1,22122,5416
0.3686985537404314,0.6755789152955515,0.3972911963882618,0.643510054844607,w4,F3,lr,2,22136,5402
0.4067200762263112,0.7148365493501722,0.4481976304512226,0.7383720930232558,w4,F3,lr,3,21904,5634
0.22805730065976174,0.623701646261875,0.2965054712319096,0.515970515970516,w4,F3,lr,4,21826,5712
0.3296766022413761,0.6900312061189494,0.40420137631293007,0.5734840698869476,w4,F3,lr,5,22164,5374
0.4365046465131762,0.731720470991291,0.46026097271648875,0.568359375,w4,F3,lgbm,1,22122,5416
0.39062962420715885,0.6910057645399317,0.41675320179993075,0.5502742230347349,w4,F3,lgbm,2,22136,5402
0.40934730102258077,0.7115205710086019,0.4480446927374302,0.6661129568106312,w4,F3,lgbm,3,21904,5634
0.2154581604844059,0.613300268976055,0.28350515463917525,0.47297297297297297,w4,F3,lgbm,4,21826,5712
0.37554101169703946,0.7085692240831932,0.41010830324909747,0.5837615621788284,w4,F3,lgbm,5,22164,5374
0.4304116151532031,0.7463304418900842,0.45065562456866803,0.6376953125,w4,F4,lr,1,22122,5416
0.369756815041212,0.6761140363831416,0.3947072072072072,0.6407678244972578,w4,F4,lr,2,22136,5402
0.40801144800164035,0.714799802014354,0.44602128737962493,0.7308970099667774,w4,F4,lr,3,21904,5634
0.22795354812057622,0.623636183048188,0.2948539638386648,0.5208845208845209,w4,F4,lr,4,21826,5712
