split_scheme,model,feature_group,train_n,test_n,train_dropout_rate,test_dropout_rate,n_features_raw,n_numeric_features,n_categorical_features,AUPRC,AUPRC_CI95_low,AUPRC_CI95_high,AUROC,Precision@0.5,Recall@0.5,F1@0.5,BalancedAcc@0.5,variant
latest_presentation_holdout,logreg,F3,21333,11260,0.296723386302911,0.3397868561278863,37,31,6,0.7815502633000102,0.7703167221294757,0.7944008756312251,0.8200350222575497,0.7361887026691496,0.6199686356508103,0.6730987514188422,0.752814557265814,drop_active_at_w4
latest_presentation_holdout,logreg,F4_structural_only,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.7815056895913824,0.7702159659634894,0.7943660752901849,0.8200729936246074,0.7376591120769947,0.6210141139571353,0.6743295019157088,0.7536735891281507,drop_active_at_w4
latest_presentation_holdout,logreg,F1,21333,11260,0.296723386302911,0.3397868561278863,21,15,6,0.7501230118454969,0.7358295321932539,0.7630518692311657,0.8103977486635837,0.6298112282422162,0.6714584422373235,0.6499683744465529,0.734168822948094,drop_active_at_w4
latest_presentation_holdout,logreg,F3,21333,11260,0.296723386302911,0.3397868561278863,37,31,6,0.8418403334969289,0.8323850011808124,0.8513892565953168,0.85703527160286,0.820032310177706,0.6633559853633038,0.7334200260078023,0.794214984879661,drop_never_active_until_w4
latest_presentation_holdout,logreg,F4_structural_only,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.8407271939963475,0.8311498659907559,0.8503866973650241,0.8542462395337904,0.8099147458162299,0.6704129639309985,0.7335907335907336,0.7947168397809419,drop_never_active_until_w4
latest_presentation_holdout,logreg,F4_delta_only,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.8406877839172072,0.831169188374219,0.8505378741351108,0.8553409399825977,0.8331112591605596,0.6536853110297961,0.7325717633274751,0.7931461260556567,drop_never_active_until_w4
latest_presentation_holdout,logreg,F4_behavioral_only,21333,11260,0.296723386302911,0.3397868561278863,39,33,6,0.840625477320626,0.83116766957864,0.8501562188884052,0.8557859081506384,0.8263866097801116,0.658128593831678,0.7327222464717008,0.793484528285223,drop_never_active_until_w4
latest_presentation_holdout,logreg,F4_all,21333,11260,0.296723386302911,0.3397868561278863,41,35,6,0.8406150741549578,0.8312742337562817,0.8499343059741388,0.8554475762384186,0.8181818181818182,0.6633559853633038,0.7326789838337182,0.7937441750868173,drop_never_active_until_w4
latest_presentation_holdout,logreg,F1,21333,11260,0.296723386302911,0.3397868561278863,22,16,6,0.8383473873554225,0.8285318367733181,0.8479542211762638,0.8537666400726462,0.830270631473438,0.6495033978044955,0.7288458718287139,0.7905843596501627,drop_never_active_until_w4
latest_presentation_holdout,xgboost,F4_behavioral_only,21333,11260,0.296723386302911,0.3397868561278863,39,33,6,0.830314736799423,0.8197302227004234,0.838867629642819,0.8434218509185063,0.8203691496374423,0.6505488761108207,0.7256559766763848,0.7886185327554373,drop_never_active_until_w4
latest_presentation_holdout,xgboost,F3,21333,11260,0.296723386302911,0.3397868561278863,37,31,6,0.8289571268954554,0.818238137831153,0.8374662083405496,0.8434249273024114,0.8055735580038885,0.6497647673810768,0.7193287037037037,0.7845272585896506,drop_never_active_until_w4
latest_presentation_holdout,xgboost,F4_structural_only,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.8289407760086597,0.8183068652302683,0.837424993038131,0.8427389112709003,0.8056446440025657,0.6565603763721902,0.7235023041474654,0.7875215118341985,drop_never_active_until_w4
latest_presentation_holdout,xgboost,F4_delta_only,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.8283329109112353,0.8178860031284867,0.837126454189856,0.8419333557505033,0.8074433656957929,0.6521170935703084,0.7215153267784846,0.7860397143934406,drop_never_active_until_w4
latest_presentation_holdout,xgboost,F4_all,21333,11260,0.296723386302911,0.3397868561278863,41,35,6,0.8266337018064547,0.8160807097896043,0.8353376202949346,0.8410477790898994,0.793168880455408,0.6555148980658652,0.7178019461934745,0.7837703626729648,drop_never_active_until_w4
latest_presentation_holdout,lightgbm,F3,21333,11260,0.296723386302911,0.3397868561278863,37,31,6,0.82462684598994,0.8136268335195693,0.8337552365026095,0.8374957510743436,0.7919441801458929,0.652639832723471,0.715575297320533,0.7821983129180982,drop_never_active_until_w4
latest_presentation_holdout,xgboost,F1,21333,11260,0.296723386302911,0.3397868561278863,22,16,6,0.824294500609491,0.8131476500187759,0.8334071053949571,0.840442768641445,0.7566517189835575,0.6615263983272347,0.7058987588899736,0.7760147461100795,drop_never_active_until_w4
latest_presentation_holdout,lightgbm,F4_delta_only,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.8229229843565881,0.8119639875915828,0.8316467301132424,0.836797728355934,0.7722650231124807,0.6549921589127026,0.708810634987979,0.7777920170404244,drop_never_active_until_w4
latest_presentation_holdout,lightgbm,F4_behavioral_only,21333,11260,0.296723386302911,0.3397868561278863,39,33,6,0.8224267239302665,0.8115170815693062,0.8316179109892826,0.836895153039376,0.7698461538461538,0.6539466806063774,0.7071791972866026,0.7766639510107485,drop_never_active_until_w4
latest_presentation_holdout,lightgbm,F4_structural_only,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.8214239931515714,0.8103411329799134,0.8303763135374745,0.8362683969515462,0.7468204673173617,0.659958180867747,0.7007076453448037,0.7724057786232736,drop_never_active_until_w4
latest_presentation_holdout,lightgbm,F4_all,21333,11260,0.296723386302911,0.3397868561278863,41,35,6,0.8195858049755167,0.8083297293335703,0.8285269069617772,0.8334883830821527,0.7626756261453879,0.652639832723471,0.7033802816901409,0.7740600293560858,drop_never_active_until_w4
latest_presentation_holdout,lightgbm,F1,21333,11260,0.296723386302911,0.3397868561278863,22,16,6,0.8164230137796812,0.8053880687801305,0.8253623180545742,0.8326456121061719,0.6982570806100218,0.6701515943544172,0.6839157108562284,0.7605533328242358,drop_never_active_until_w4
latest_presentation_holdout,logreg,F4_behavioral_only,21333,11260,0.296723386302911,0.3397868561278863,39,33,6,0.8404001926042907,0.830966791450012,0.8500739679275592,0.8560814871162448,0.8272667107875579,0.6534239414532148,0.7301401869158879,0.7916030118888351,drop_inactive_gap_days_w4
latest_presentation_holdout,logreg,F4_delta_only,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.8395862155543534,0.8300971569999895,0.8490675431711031,0.8525097878230325,0.8345563709139426,0.6539466806063774,0.7332942555685815,0.7936131035531214,drop_inactive_gap_days_w4
latest_presentation_holdout,logreg,F4_structural_only,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.8395835069095505,0.8301139948708022,0.8489496010431521,0.8542166007722813,0.8202794930126747,0.6596968112911658,0.7312762566999855,0.7926544320109312,drop_inactive_gap_days_w4
latest_presentation_holdout,logreg,F4_all,21333,11260,0.296723386302911,0.3397868561278863,41,35,6,0.8394521851994313,0.8298719468379036,0.8490076109940136,0.8535894403597097,0.8224697019325253,0.656299006795609,0.7300479720889664,0.7916953737233359,drop_inactive_gap_days_w4
latest_presentation_holdout,logreg,F3,21333,11260,0.296723386302911,0.3397868561278863,37,31,6,0.8391259101004992,0.8294203338030125,0.848649301412137,0.8506659263656438,0.80875,0.676424464192368,0.7366922857956163,0.7970500044932785,drop_inactive_gap_days_w4
latest_presentation_holdout,logreg,F1,21333,11260,0.296723386302911,0.3397868561278863,22,16,6,0.8383473873554225,0.8285318367733181,0.8479542211762638,0.8537666400726462,0.830270631473438,0.6495033978044955,0.7288458718287139,0.7905843596501627,drop_inactive_gap_days_w4
